client_id,nom_client,adresse_client,devis_id,date_devis,produit_id,nom_produit,quantité,prix_unitaire
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",54834,2023-12-20,74698,activity both,5,912.19
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",54834,2023-12-20,49358,west build,3,812.37
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",76841,2024-06-22,66829,indicate glass,2,655.22
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",76841,2024-06-22,12041,most easy,3,550.4
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",66558,2024-09-14,53539,radio develop,4,458.26
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",36736,2023-12-28,41078,break of,4,395.12
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",6045,2024-01-15,75590,fill condition,4,803.04
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",6045,2024-01-15,31238,church interest,1,54.88
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",6045,2024-01-15,49358,west build,1,812.37
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",75561,2024-03-28,37001,draw beyond,4,478.75
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",75561,2024-03-28,73670,government leg,5,838.01
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",2130,2024-09-25,41230,church always,2,428.98
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",25813,2023-12-08,4361,follow it,1,328.54
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",25813,2023-12-08,66984,car data,5,115.17
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",49074,2024-10-19,35577,tough no,2,41.98
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",49074,2024-10-19,37001,draw beyond,4,478.75
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",75861,2024-10-06,53539,radio develop,5,458.26
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",44942,2024-08-02,70918,team clear,5,59.7
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",44942,2024-08-02,92810,citizen dream,5,876.79
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",48932,2024-10-11,75590,fill condition,2,803.04
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",24998,2024-04-27,27041,popular figure,1,483.9
