client_id,nom_client,adresse_client,facture_id,date_facture,produit_id,nom_produit,quantité,prix_unitaire
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",64371,2023-12-21,23504,may somebody,4,223.91
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",73886,2024-07-02,20230,maintain finish,5,37.39
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",94525,2024-06-20,91241,Republican police,3,442.29
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",94525,2024-06-20,9868,reduce first,2,882.4
667,Johnathan Erickson,"54552 Michele Port Apt. 363, West Melissa, NY 29863",94525,2024-06-20,22733,seat your,5,790.71
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",27921,2023-11-10,79139,administration success,2,378.98
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",27921,2023-11-10,60205,probably character,1,828.78
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",27921,2023-11-10,70552,blood sister,2,901.46
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",77036,2023-10-24,87329,worker organization,1,990.26
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",77036,2023-10-24,44214,himself world,1,597.5
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",77036,2023-10-24,74698,activity both,2,912.19
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",46274,2024-02-06,91472,different state,3,513.47
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",30250,2024-10-18,98054,if top,5,973.01
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",30250,2024-10-18,74698,activity both,5,912.19
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",30250,2024-10-18,84855,fund account,5,216.8
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",53694,2024-06-30,39680,wait phone,2,390.08
88839,Charles Kim,"50767 Gregory Views, Robertside, MN 86764",53694,2024-06-30,35577,tough no,2,41.98
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",40572,2024-10-10,22733,seat your,1,790.71
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",89483,2024-06-27,91241,Republican police,3,442.29
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",9796,2024-07-11,41230,church always,3,428.98
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",9796,2024-07-11,68778,rule deal,3,111.08
22856,Katherine Figueroa,"38805 William Station Suite 218, Allenfort, UT 12738",9796,2024-07-11,23504,may somebody,5,223.91
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",54434,2024-04-28,62335,man series,4,619.45
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",53990,2024-09-23,83028,impact reach,2,880.32
82213,Mr. John Aguirre,"1427 Beltran Crossroad, East Krista, PR 45715",53990,2024-09-23,95733,south interview,5,259.25
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",59574,2024-03-31,29397,level visit,4,346.42
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",59574,2024-03-31,99467,entire clear,2,168.62
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",59574,2024-03-31,14861,social ahead,4,118.94
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",5051,2024-02-14,5537,why day,4,432.56
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",77872,2024-03-04,5537,why day,3,432.56
25505,Elizabeth Jones,"USNS Allen, FPO AA 51031",24205,2024-01-30,95733,south interview,5,259.25
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",55389,2023-12-06,73670,government leg,5,838.01
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",55389,2023-12-06,79139,administration success,2,378.98
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",55389,2023-12-06,2235,senior work,2,871.17
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",89043,2024-08-10,77235,low nor,4,31.54
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",12283,2024-05-20,84927,team allow,3,332.14
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",29330,2024-10-06,12041,most easy,2,550.4
44972,Joy Dalton,"263 Scott Mission Apt. 309, Parkerberg, ME 92912",13163,2024-07-31,4080,reach physical,3,879.22
44972,Joy Dalton,"263 Scott Mission Apt. 309, Parkerberg, ME 92912",13163,2024-07-31,3436,he pattern,2,504.18
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",33780,2024-07-26,24491,friend senior,1,785.53
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",55400,2024-03-19,24491,friend senior,3,785.53
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",55400,2024-03-19,14861,social ahead,2,118.94
